"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"PACKAGE";"PRICE";"PROD_ID";"TP_SIGNAL_NAME";"VALUE";
"1";"";"-PNP-SC59-BEC";"SC59-BEC";"T1";"PNP Transistror";"";"";"";"";"";"";"";"";"";
"1";"0";"0OHM-0603-1/10W-5%";"0603";"R10";"0Ω resistor";"";"";"";"";"";"";"RES-08609";"";"0";
"2";"0.1uF";"0.1UF-0603-100V-10%";"0603";"C1, C4";"0.1µF ceramic capacitors";"";"";"";"";"";"";"CAP-08390";"";"0.1uF";
"2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C5, C6";"0.1µF ceramic capacitors";"";"";"";"";"";"";"CAP-00810";"";"0.1uF";
"1";"1.0uF";"1.0UF-0603-16V-10%";"0603";"C3";"1µF ceramic capacitors";"";"";"";"";"";"";"CAP-00868";"";"1.0uF";
"1";"1.5k";"1.5KOHM-0603-1/10W-1%";"0603";"R5";"1.5kΩ resistor";"";"";"";"";"";"";"RES-08306";"";"1.5k";
"4";"10";"10OHM-0603-1/10W-1%";"0603";"R13, R14, R15, R16";"10Ω resistor";"";"";"";"";"";"";"RES-12581";"";"10";
"1";"12.1k";"12.1KOHM-0603-1/10W-1%";"0603";"R1";"12.1kΩ resistor";"";"";"";"";"";"";"RES-09378";"";"12.1k";
"1";"1k";"1KOHM-0603-1/10W-1%";"0603";"R49";"1kΩ resistor";"";"";"";"";"";"";"RES-07856";"";"1k";
"1";"2.0A/0.050 DCR";"FERRITE_BEAD-0603";"0603";"FB1";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"NDUC-07859";"";"30Ω/1.8A";
"1";"22nF";"22NF/22,000PF-0603-50V-10%";"0603";"C7";"0.022uF/22nF/22,000pF ceramic capacitors";"";"";"";"";"";"";"CAP-07885";"";"22nF";
"2";"33";"33OHM-0603-1/10W-1%";"0603";"R3, R4";"33Ω resistor";"";"";"";"";"";"";"RES-08270";"";"33";
"2";"330";"330OHM-0603-1/10W-1%";"0603";"R11, R12";"330Ω resistor";"";"";"";"";"";"";"RES-00818";"";"330";
"4";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"R2, R18, R19, R50";"4.7kΩ resistor";"";"";"";"";"";"";"RES-07857";"";"4.7k";
"4";"44.9Ohm";"43KOHM-0603-1/10W-1%";"0603";"R6, R7, R8, R9";"43kΩ resistor";"";"";"";"";"";"";"RES-07858";"";"43k";
"1";"470pF";"470PF-0603-50V-5%";"0603";"C2";"470pF ceramic capacitors";"";"";"";"";"";"";"CAP-07884";"";"470pF";
"1";"CB3LV-3I-50M0000";"CB3LV-3I-50M0000";"OSCCC700X500X180-4N";"X1";"Oscillator XO 50MHz 50ppm 50pF HCMOS/TTL 55% 3.3V 4-Pin SMD T/R";"Good";" CB3LV Series 50 MHz 7 x 5 mm 3.3 V ±50 ppm SMT HCMOS/TTL Clock Oscillator ";"CTS-Frequency";"CB3LV-3I-50M0000";"SMD-4 CTS Components";"1.14 USD";"";"";"";
"1";"DM3AT-SF-PEJM5";"DM3AT-SF-PEJM5";"HRS_DM3AT-SF-PEJM5";"J2";"DM3 Series 8 Position Right Angle SMT Push Push Ejection MicroSD Card Connector";"Good";"DM3 Series 8 Position Right Angle SMT Push Push Ejection MicroSD Card Connector";"Hirose";"DM3AT-SF-PEJM5";"None";"1.92 USD";"";"";"";
"1";"ESP32_THING_WO_ANT_KEEPOUT";"ESP32_THING_WO_ANT_KEEPOUT";"ESP32_THING_NO_ANT";"B1";"SparkFun ESP32 Thing Board";"";"";"";"";"";"";"";"";"";
"1";"J00-0065NL";"J00-0065NL";"PULSE_J00-0065NL";"P1";"Conn RJ-45 Integrated Magnetics F 8 POS 2.54mm Solder RA Thru-Hole 12 Terminal 1 Port Cat 5/Cat 6";"Good";" Conn RJ-45 Integrated Magnetics F 8 POS 2.54mm Solder RA Thru-Hole 12 Terminal 1 Port Cat 5/Cat 6 ";"Pulse Electronics";"J00-0065NL";"FakePackage u";"4.28 USD";"";"";"";
"1";"LAN8720A-CP";"LAN8720A-CP";"QFN50P400X400X100-25N";"U1";"LAN8720A Series 3.3 V RMII 10/100 Ethernet Transceiver Surface Mount - QFN-24";"Good";" LAN8720A Series 3.3 V RMII 10/100 Ethernet Transceiver Surface Mount - QFN-24 ";"Microchip";"LAN8720A-CP";"QFN-24 Microchip";"1.22 USD";"";"";"";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP1";"Test pad";"";"";"";"";"";"";"";"";"";
